ITEM,TIME,PERCENTAGE
Tv-harddiskoptager (-2021),2011,26
Tv-harddiskoptager (-2021),2012,28
Tv-harddiskoptager (-2021),2013,27
Tv-harddiskoptager (-2021),2014,28
Tv-harddiskoptager (-2021),2015,26
Tv-harddiskoptager (-2021),2016,26
Tv-harddiskoptager (-2021),2017,25
Tv-harddiskoptager (-2021),2018,30
Tv-harddiskoptager (-2021),2019,29
Tv-harddiskoptager (-2021),2020,29
Tv-harddiskoptager (-2021),2021,28
PC,1990,15
PC,1991,19
PC,1992,23
PC,1993,27
PC,1994,33
PC,1995,37
PC,1996,45
PC,1997,48
PC,1998,53
PC,1999,60
PC,2000,65
PC,2001,67
PC,2002,72
PC,2003,79
PC,2004,81
PC,2005,84
PC,2006,85
PC,2007,83
PC,2008,88
PC,2009,86
PC,2010,..
PC,2011,91
PC,2012,92
PC,2013,93
PC,2014,95
PC,2015,92
PC,2016,95
PC,2017,91
PC,2018,94
PC,2019,91
PC,2020,91
PC,2021,91
PC,2022,94
Mobiltelefon,1994,14
Mobiltelefon,1995,20
Mobiltelefon,1996,38
Mobiltelefon,1997,43
Mobiltelefon,1998,49
Mobiltelefon,1999,59
Mobiltelefon,2000,68
Mobiltelefon,2001,73
Mobiltelefon,2002,84
Mobiltelefon,2003,85
Mobiltelefon,2004,90
Mobiltelefon,2005,92
Mobiltelefon,2006,94
Mobiltelefon,2007,95
Mobiltelefon,2008,95
Mobiltelefon,2009,98
Mobiltelefon,2010,97
Mobiltelefon,2011,97
Mobiltelefon,2012,97
Mobiltelefon,2013,98
Mobiltelefon,2014,98
Mobiltelefon,2015,98
Mobiltelefon,2016,96
Mobiltelefon,2017,96
Mobiltelefon,2018,96
Mobiltelefon,2019,96
Mobiltelefon,2020,95
Mobiltelefon,2021,96
Mobiltelefon,2022,97
Smartphone,2011,33
Smartphone,2012,50
Smartphone,2013,63
Smartphone,2014,73
Smartphone,2015,77
Smartphone,2016,83
Smartphone,2017,84
Smartphone,2018,88
Smartphone,2019,88
Smartphone,2020,90
Smartphone,2021,90
Smartphone,2022,93
Fastnettelefon,1990,95
Fastnettelefon,1991,94
Fastnettelefon,2007,78
Fastnettelefon,2008,76
Fastnettelefon,2009,68
Fastnettelefon,2010,64
Fastnettelefon,2011,58
Fastnettelefon,2012,51
Fastnettelefon,2013,50
Fastnettelefon,2014,42
Fastnettelefon,2015,39
Fastnettelefon,2016,30
Fastnettelefon,2017,26
Fastnettelefon,2018,20
Fastnettelefon,2019,18
Fastnettelefon,2020,15
Fastnettelefon,2021,12
Fastnettelefon,2022,10
DAB radio,2006,14
DAB radio,2007,20
DAB radio,2008,25
DAB radio,2009,29
DAB radio,2010,33
DAB radio,2011,32
DAB radio,2012,35
DAB radio,2013,37
DAB radio,2014,35
DAB radio,2015,36
DAB radio,2016,37
DAB radio,2017,38
DAB radio,2018,33
DAB radio,2019,31
DAB radio,2020,34
DAB radio,2021,36
DAB radio,2022,31
GPS navigation,2006,15
GPS navigation,2007,19
